страница;url;тип страницы;роль;ключевое слово;частота;источник_частоты;направление;намерение;статус;приоритет
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;основная;данные и знания в информационной системе;270;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;базы знаний и информационные системы;240;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;информационная система и знания;1338;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;знание информационных систем это;450;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;базы знаний системы управления базами знаний;305;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;2
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;система учета клиентов;688;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;2
Реляционная база вместо Notion;https://ideav.ru/knowledge-base/07-notion-relational-data.html;статья КБ;дополнительная;система учета сделок;151;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;основная;информационная система и интерфейс;697;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;дополнительная;дизайн графических и пользовательских интерфейсов информационных систем;131;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;дополнительная;интерфейс ис это;53;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;дополнительная;протоколы и интерфейсы информационных систем;47;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;дополнительная;автоматическое заполнение шаблонов документов;38;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
HTML-шаблоны вместо конструктора;https://ideav.ru/knowledge-base/08-html-templates.html;статья КБ;дополнительная;автоматическое заполнение документов по шаблону;17;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;основная;вайб кодинг;14907;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;общий;не внедрено;1
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;vibe coding;2342;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;2
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;что такое вайб кодинг простыми словами;394;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;учебное;не внедрено;2
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;вайб кодинг ии;332;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;выбор;частично;2
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;вайб кодинг агенты;99;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;вайб кодинг примеры;59;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;150 промптов для продвинутого вайб кодинга;23;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;частично;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;промпты для вайб кодинга;10;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;частично;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;вайб кодинг локально;34;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;небезопасный вайб кодинг;22;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;частично;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;вайб кодинг для разработчиков;20;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;vibe coding template;16;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;что можно сделать с помощью вайб кодинга;7;замер 18.08;Вайб-кодинг и ИИ-генерация интерфейса;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;цифровое рабочее место сотрудника;44;ядро (не проверено);;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;автоматизация цифровых рабочих мест;52;ядро (не проверено);;не размечено;не внедрено;3
Вайб-кодинг шаблонов для main.html;https://ideav.ru/knowledge-base/08a-vibe-coding-templates.html;статья КБ;дополнительная;интерфейс crm систем;95;ядро (не проверено);BPM;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;основная;разработка информационных систем и приложений;499;ядро (расходится с замером);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка и внедрение информационной системы;921;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка и создание информационной системы;518;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;проектирование информационной системы ис;170;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;проектирование информационной системы включает;123;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;исследование и разработка информационной системы;123;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;проектирование и разработка информационных систем;1407;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка информационных систем и технологий;1707;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка информационных систем это;869;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка требований к информационной системы;285;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка информационных систем что это;309;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка информационных систем и баз данных;446;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;техническое задание на разработку системы;490;замер 18.08;;не размечено;не внедрено;2
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;разработка приложений на заказ;123;замер 18.08;;не размечено;не внедрено;3
Прототип быстрее заказной разработки;https://ideav.ru/knowledge-base/09-custom-development-prototype.html;статья КБ;дополнительная;этапы проектирования информационных систем;180;замер 18.08;;не размечено;не внедрено;3
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;основная;информационная система и модернизация;525;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;информационная система и настройка;539;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;информационная система и техническая поддержка;465;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;информационная система и обновления;343;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;развитие и модернизация информационной системы;143;ядро (расходится с замером);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;гибкость бизнес процессов;218;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;модернизация бизнес процессов;97;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;информационная система и гибкость;72;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Изменения без релиза;https://ideav.ru/knowledge-base/10-no-release-changes.html;статья КБ;дополнительная;информационная система и поддержка;2640;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;2
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;основная;целостность информации и информационных систем;221;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;информационная система и риски;916;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;информационная система и качество данных;233;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;обеспечение целостности информационной системы и информации;74;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;информационная система и ошибки внедрения;66;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;искусственный интеллект и автоматизация бизнес процессов;76;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;информационная система и чат-боты;31;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;управление данными качестве;1129;ядро (расходится с замером);Корпоративная аналитика и Big Data;не размечено;не внедрено;2
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;целостность данных это;609;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;2
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;обеспечение целостности данных;489;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;2
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;целостность данных и информации;288;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
AI делает интерфейс, не данные;https://ideav.ru/knowledge-base/11-ai-interface-data-safety.html;статья КБ;дополнительная;целостность информационных данных;186;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;основная;разработка прототипа;839;замер 18.08;Информационные системы и цифровая трансформация;учебное;не внедрено;1
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;этапы разработки прототипов;171;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;разработка прототипа продукта;107;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;разработка прототипа системы;75;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;система учета оборудования;968;замер 18.08;Внутренние учетные системы для бизнеса;выбор;не внедрено;2
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;разработка прототипа приложения;34;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Без переписывания после демо;https://ideav.ru/knowledge-base/12-ai-prototype-rewrite.html;статья КБ;дополнительная;прототип информационной системы;29;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;основная;информационная система и интеграция;1477;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;информационная система и api;79;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;частично;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция crm систем;504;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;2
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;автоматизация выгрузки данных;29;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;api для автоматизации процессов;29;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;импорт и экспорт данных информационной системы;22;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция информационных систем;1753;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;2
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция данных в информационных системах;159;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;технологии интеграции информационных систем;270;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;архитектура интеграции информационных систем;140;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;api интеграция с 1с;286;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция 1с по api;107;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграции 1с с внешними системами;73;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция 1с с другими системами;62;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;интеграция с 1с через api;46;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;обмен данных между системами;456;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;2
API вместо ручных выгрузок;https://ideav.ru/knowledge-base/13-api-json-export.html;статья КБ;дополнительная;обмена данными между информационными системами;86;замер 18.08;Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;основная;система учета и управления заявками;17;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;покупка;не внедрено;1
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;система управления заявками;378;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;покупка;не внедрено;2
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;система заявок;11164;замер 18.08;вне ядра по частоте, кластер BPM;не размечено;не внедрено;2
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;журнал заявок;3726;замер 18.08;вне ядра, кластер BPM;не размечено;не внедрено;2
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;информационная система управления заявками;81;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;учет заявок клиент;181;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;управление заявками клиентов;102;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;автоматизация заявок на обслуживание;16;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;автоматизация лидогенерации;14;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Формы рядом с данными;https://ideav.ru/knowledge-base/14-forms.html;статья КБ;дополнительная;база данных для ведения учета;96;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;основная;система автоматизации отчетности;699;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;покупка;не внедрено;1
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;информационная система и отчетность;815;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;2
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;внедрение процессов автоматизации отчетности;516;ядро (расходится с замером);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;2
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматическое формирование отчетов;240;ядро (не проверено);BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;сводная аналитика;208;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;сводная таблица аналитики;104;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;частично;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;аналитика сводные таблицы;104;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;частично;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматическая генерация отчетов;65;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация отчетности;724;замер 18.08;BPM и автоматизация бизнес-процессов;покупка;не внедрено;2
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация системы отчетности;136;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;отчет в excel;1967;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;2
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;сводный отчет в excel;124;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;выгрузка отчета в excel;93;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация учета и отчетности;81;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация управленческой отчетности;68;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;отчет сводной таблицы в excel;56;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация подготовки отчетности;56;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;автоматизация формирования отчетности;54;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;сводная управленческая отчетность;22;замер 18.08;Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;сервисы автоматизации отчетности;16;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Отчёты на той же базе;https://ideav.ru/knowledge-base/14a-reports.html;статья КБ;дополнительная;инструменты автоматизации отчетности;11;замер 18.08;BPM и автоматизация бизнес-процессов;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;основная;сводные таблицы excel в дашборд;80;ядро (расходится с замером);Автоматизация рутинных операций и отчетов;учебное;не внедрено;1
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;визуализация больших данных;551;ядро (не проверено);Внутренние учетные системы для бизнеса;не размечено;не внедрено;2
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;визуализация больших объемов данных;296;ядро (не проверено);Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;бизнес процесс kpi;189;ядро (не проверено);Процессный подход к управлению;не размечено;частично;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;показателей kpi бизнес процессов;77;ядро (не проверено);Процессный подход к управлению;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;инструменты визуализации больших данных;57;ядро (не проверено);Внутренние учетные системы для бизнеса;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;дашборды на основе excel данных;44;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;сводные таблицы и дашборды в excel;37;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;визуализация корпоративных данных;31;ядро (не проверено);Корпоративная аналитика и Big Data;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;дашборды с автоматическим обновлением данных в реальном времени;12;ядро (не проверено);Автоматизация рутинных операций и отчетов;не размечено;частично;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;информационная система и kpi;8;ядро (не проверено);Информационные системы и цифровая трансформация;не размечено;не внедрено;3
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;дашборд таблица;1095;замер 18.08;;не размечено;не внедрено;2
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;как сделать дашборд;1297;замер 18.08;;не размечено;не внедрено;2
Дашборды на тех же данных;https://ideav.ru/knowledge-base/14b-dashboards.html;статья КБ;дополнительная;дашборд сводная таблица;277;замер 18.08;;не размечено;не внедрено;3
Локальное развёртывание и контроль;https://ideav.ru/knowledge-base/15-local-control-files.html;статья КБ;основная;локальные информационные системы это;366;ядро (не проверено);Информационные системы и цифровая трансформация;учебное;не внедрено;1
