Направление;Ключевое слово;Частота Yandex;Затравка;Намерение
язык задач — система/программа;программа для учета ос;291;программа для учета;общий
язык задач — учёт;электронный учет товаров;290;учет товаров;общий
язык задач — учёт;учет складского хранения;290;складской учет;общий
язык задач — учёт;карточка складского учета материалов;290;складской учет;общий
язык задач — система/программа;информационная система crm;290;crm система;общий
язык задач — система/программа;система учета erp;290;erp система;общий
язык задач — учёт;учет вознаграждения по договору;289;учет договоров;общий
язык задач — учёт;кадровый учет рабочего времени;289;кадровый учет;общий
язык задач — учёт;финансовый учет личных финансов;289;финансовый учет;общий
создание и внедрение;внедрение информационных систем ответы;289;внедрение информационной системы;покупка
импортозамещение и закупка;вопросы по отечественной истории;289;отечественное по;общий
ии и новое;атаки на ии агентов;289;ии агент;общий
язык задач — учёт;учет согласования договора;288;учет договоров;общий
язык задач — учёт;финансовый учет проектов;288;финансовый учет;общий
импортозамещение и закупка;рынок отечественного по;288;отечественное по;общий
язык задач — учёт;1с учет договоров аренды;287;учет договоров;общий
язык задач — учёт;миграционный учет сотрудников;287;учет сотрудников;общий
импортозамещение и закупка;мемориал великой отечественной войны по фамилии;287;отечественное по;общий
язык задач — учёт;как провести учет товара;286;учет товаров;общий
язык задач — учёт;учет продаж в производстве;286;учет продаж;общий
язык задач — учёт;раздельный учет затрат гоз;286;учет затрат;общий
ии и новое;hermes ии агент;286;ии агент;общий
язык задач — учёт;книга продаж учет ндс;285;учет продаж;общий
язык задач — учёт;учет премии сотруднику;285;учет сотрудников;общий
язык задач — учёт;кадровый учет учет заработной платы;285;кадровый учет;общий
импортозамещение и закупка;найти участника великой отечественной войны по;285;отечественное по;общий
язык задач — учёт;учет выполненных заказов;284;учет заказов;общий
язык задач — учёт;учет розничных продаж в 1с;284;учет продаж;общий
язык задач — учёт;бухгалтерский учет затрат и расходов;284;учет затрат;общий
язык задач — учёт;учет запасов и затрат;284;учет затрат;общий
язык задач — учёт;учет затрат ос;284;учет затрат;общий
язык задач — учёт;учет пожарного оборудования;284;учет оборудования;общий
язык задач — учёт;учет транспортных затрат;283;учет затрат;общий
язык задач — система/программа;программы для системы учета;283;программа для учета;общий
импортозамещение и закупка;создание отечественного по;283;отечественное по;общий
ии и новое;настройка ии агента;283;ии агент;общий
язык задач — учёт;учет сроков годности товара;282;учет товаров;общий
язык задач — учёт;работа учет на складе;281;учет склада;общий
язык задач — система/программа;crm системы выбрать;281;crm система;выбор
язык задач — учёт;учет затрат бюджетный учет;280;учет затрат;общий
язык задач — система/программа;данные в crm систему;280;crm система;общий
данные и справочники;справочник номенклатура контрагентов номенклатура;279;справочник номенклатуры;общий
язык задач — учёт;1с учет времени сотрудников;278;учет сотрудников;общий
язык задач — учёт;позаказный учет затрат;278;учет затрат;общий
язык задач — учёт;учет ремонта авто;278;учет ремонтов;общий
импортозамещение и закупка;слова по великой отечественной войне;278;отечественное по;общий
импортозамещение и закупка;по 2 в великой отечественной;278;отечественное по;общий
ии и новое;управление ии агентом;278;ии агент;общий
язык задач — учёт;учет товаров в россии;277;учет товаров;общий
язык задач — учёт;учет финансовых ресурсов;277;финансовый учет;общий
язык задач — система/программа;erp система управления предприятием;277;erp система;общий
язык задач — система/программа;новая система отчетности;277;система отчетности;общий
создание и внедрение;конструктор приложений для андроид;277;конструктор приложений;общий
язык задач — учёт;карточка складского учета м 17;276;складской учет;общий
язык задач — учёт;учет рабочих мест сотрудников;276;учет сотрудников;общий
язык задач — учёт;учет расходов доходов финансовых результатов;276;финансовый учет;общий
язык задач — учёт;учет запасов производство;276;учет производства;общий
импортозамещение и закупка;отечественная война 1812 года по;276;отечественное по;общий
язык задач — учёт;учет прихода сотрудников;275;учет сотрудников;общий
импортозамещение и закупка;купить отечественное по;275;отечественное по;покупка
язык задач — учёт;кадастровый учет договора аренды;274;учет договоров;общий
язык задач — учёт;учет договоров на недвижимость;274;учет договоров;общий
язык задач — учёт;финансовый учет производственный учет;274;финансовый учет;общий
язык задач — учёт;учет затрат на приобретение нематериальных активов;274;учет затрат;общий
язык задач — учёт;учет медицинского оборудования;274;учет оборудования;общий
язык задач — учёт;табельный учет рабочего;274;табельный учет;общий
язык задач — система/программа;программы crm систем;274;crm система;общий
создание и внедрение;автоматизация программа учет;274;автоматизация учета;общий
язык задач — учёт;учет заявок и работ;273;учет заявок;общий
язык задач — учёт;управленческий учет производства;273;управленческий учет;общий
язык задач — учёт;должность учет на производстве;273;учет производства;общий
создание и внедрение;процесс внедрения информационных систем;273;внедрение информационной системы;покупка
язык задач — учёт;учет счета 41 товары;272;учет товаров;общий
язык задач — учёт;договор лизинга учет в 1с;272;учет договоров;общий
язык задач — учёт;форма складского учета м 17;272;складской учет;общий
язык задач — учёт;складского учета материалов м 17;271;складской учет;общий
язык задач — учёт;учет ндфл по сотрудникам;271;учет сотрудников;общий
язык задач — учёт;19 02 учет финансовых вложений;271;финансовый учет;общий
язык задач — учёт;бухгалтерский финансовый учет статьи;271;финансовый учет;общий
язык задач — учёт;кадровый учет предприятий;270;кадровый учет;общий
язык задач — учёт;финансовый учет фз;270;финансовый учет;общий
язык задач — учёт;учет производства решения;270;учет производства;общий
язык задач — система/программа;система бухгалтерской финансовой отчетности;270;система отчетности;общий
язык задач — учёт;учет остатка товаров на складе;269;учет товаров;общий
язык задач — учёт;налоговый учет договора цессии;269;учет договоров;общий
язык задач — учёт;пбу 19 учет финансовых вложений;269;финансовый учет;общий
язык задач — система/программа;процессы crm системы;269;crm система;общий
создание и внедрение;автоматизация учета данных;269;автоматизация учета;общий
язык задач — учёт;учет заказов клиентов;268;учет клиентов;общий
язык задач — учёт;виды учета на складе;268;учет склада;общий
создание и внедрение;проект внедрения информационных систем;268;внедрение информационной системы;покупка
импортозамещение и закупка;отечественное программное обеспечение по;268;отечественное по;общий
язык задач — учёт;учет договоров бюджет;267;учет договоров;общий
язык задач — учёт;работа складской учет;267;складской учет;общий
язык задач — система/программа;интеграции crm систем;267;crm система;общий
импортозамещение и закупка;участник отечественной войны найти по фамилии;267;отечественное по;общий
импортозамещение и закупка;участники великой отечественной найти по фамилии;267;отечественное по;общий
язык задач — учёт;учет продаж бух учет;266;учет продаж;общий
импортозамещение и закупка;великая отечественная война найти участника по фамилии;266;отечественное по;общий
язык задач — учёт;ведение учета склада;265;учет склада;общий
язык задач — учёт;учет оборудования к установке;265;учет оборудования;общий
язык задач — система/программа;erp системы бизнеса;265;erp система;общий
язык задач — учёт;учет себестоимости затрат на производство;263;учет затрат;общий
импортозамещение и закупка;виды отечественного по;263;отечественное по;общий
язык задач — учёт;бухгалтерский учет продаж товаров;262;учет товаров;общий
язык задач — учёт;учет хозяйственных договоров;262;учет договоров;общий
язык задач — учёт;постановка на учет сотрудника в военкомате;262;учет сотрудников;общий
язык задач — учёт;учет оборудования и инвентаря;262;учет оборудования;общий
язык задач — система/программа;crm системы база;262;crm система;общий
язык задач — учёт;учет товаров и услуг 1с;261;учет товаров;общий
язык задач — учёт;учет займа сотруднику;261;учет сотрудников;общий
создание и внедрение;автоматизация бизнес процессов решения;261;автоматизация бизнес процессов;общий
язык задач — учёт;товарно складской учет;260;складской учет;общий
язык задач — учёт;автоматизированный учет сотрудников;260;учет сотрудников;общий
язык задач — учёт;управление и учет затрат;260;учет затрат;общий
язык задач — система/программа;1 crm системы;260;crm система;общий
импортозамещение и закупка;поиск по отечественным и;260;отечественное по;общий
язык задач — учёт;учет клиентов 2;259;учет клиентов;общий
язык задач — учёт;учет выручки от реализации товаров;259;учет товаров;общий
язык задач — учёт;учет и контроль договоров;259;учет договоров;общий
язык задач — учёт;система учета сотрудников по карточкам;259;учет сотрудников;общий
язык задач — учёт;табельный учет рабочего времени;259;табельный учет;общий
язык задач — система/программа;система электронного документооборота в российской федерации;259;система документооборота;общий
язык задач — система/программа;crm система битрикс;259;crm система;общий
создание и внедрение;бизнес автоматизации управления процесса;259;автоматизация бизнес процессов;общий
ии и новое;чем отличаются ии агенты;259;ии агент;общий
данные и справочники;значение справочники номенклатура;259;справочник номенклатуры;общий
конкуренты и бренды;amocrm тарифы;258;amocrm;покупка
ии и новое;ии агенты и автоматизация;257;ии агент;общий
язык задач — учёт;заявка на ввод приборов учета;256;учет заявок;общий
язык задач — система/программа;внедрение систем электронного документооборота;256;система документооборота;покупка
язык задач — система/программа;crm система задачи;256;crm система;общий
язык задач — система/программа;анализ системы отчетности;256;система отчетности;общий
создание и внедрение;внедрение системы информационной безопасности;256;внедрение информационной системы;покупка
язык задач — учёт;учет закупок товаров и услуг;255;учет товаров;общий
язык задач — учёт;система учета трудовых договоров;255;учет договоров;общий
язык задач — учёт;учет инструментов и оборудования;255;учет оборудования;общий
импортозамещение и закупка;данные по великой отечественной войне;255;отечественное по;общий
ии и новое;личный ии агент;255;ии агент;общий
язык задач — система/программа;12 erp системы;254;erp система;общий
создание и внедрение;автоматизация финансов учет;254;автоматизация учета;общий
импортозамещение и закупка;работы по великой отечественной войне;254;отечественное по;общий
язык задач — учёт;налоговый учет реализации товаров;253;учет товаров;общий
язык задач — учёт;учет затрат и доходов;253;учет затрат;общий
язык задач — система/программа;программа для учета проверок;253;программа для учета;общий
импортозамещение и закупка;поддержка отечественного по;253;отечественное по;общий
язык задач — учёт;учет работы с клиентами;252;учет клиентов;общий
язык задач — учёт;учет товаров осно;252;учет товаров;общий
язык задач — учёт;учет оборудования сети;252;учет оборудования;общий
ии и новое;ии агенты решение;252;ии агент;общий
язык задач — учёт;объект учет товаров;251;учет товаров;общий
язык задач — учёт;учет в сфере закупок;251;учет закупок;общий
язык задач — система/программа;тип crm систем;251;crm система;общий
язык задач — учёт;учет товаров в 1с склад;250;учет товаров;общий
импортозамещение и закупка;регистрация в реестре отечественного по;250;реестр отечественного по;общий
язык задач — учёт;учет движения на складах;249;учет склада;общий
язык задач — учёт;складской учет предприятия;249;складской учет;общий
язык задач — учёт;учет товаров в бухгалтерском учете документы;248;учет товаров;общий
язык задач — учёт;учет лизинговых договоров;248;учет договоров;общий
язык задач — учёт;учет складских остатков;248;складской учет;общий
язык задач — система/программа;erp 2 система;248;erp система;общий
ии и новое;ии для автоматизации процессов;248;ии для автоматизации;общий
язык задач — учёт;оператор складского учета;247;складской учет;общий
язык задач — учёт;управленческий учет экономика;247;управленческий учет;общий
язык задач — учёт;управленческий учет ерп;247;управленческий учет;общий
язык задач — учёт;учет рабочего времени оборудование;247;учет оборудования;общий
язык задач — учёт;учет продажи запасов;245;учет продаж;общий
язык задач — учёт;учет продажи валюты;245;учет продаж;общий
язык задач — учёт;материальный учет на складе;245;учет склада;общий
импортозамещение и закупка;видео отечественное по;245;отечественное по;общий
импортозамещение и закупка;база отечественного по;245;отечественное по;общий
язык задач — учёт;бухгалтерский учет складского;244;складской учет;общий
язык задач — учёт;чем управленческий учет отличается от бухгалтерского учета;244;управленческий учет;общий
ии и новое;разработчик ии агентов;244;ии агент;общий
ии и новое;как использовать ии агента;244;ии агент;общий
язык задач — учёт;электронный учет заявок;243;учет заявок;общий
язык задач — учёт;управленческий учет регламентирован;243;управленческий учет;общий
язык задач — учёт;учет компенсации затрат;243;учет затрат;общий
язык задач — учёт;учет замены оборудования;243;учет оборудования;общий
язык задач — система/программа;crm система взаимоотношений клиентами;243;crm система;общий
создание и внедрение;автоматизация учета документов;243;автоматизация учета;общий
ии и новое;вайб кодинг что это такое простыми;243;вайб кодинг;учебное
ии и новое;ии агент gpt;243;ии агент;общий
ии и новое;ии агент помощник;243;ии агент;общий
язык задач — учёт;правильный складской учет;242;складской учет;общий
язык задач — учёт;учет кадрового обеспечения;242;кадровый учет;общий
язык задач — система/программа;crm система c;242;crm система;общий
импортозамещение и закупка;закупка российских товаров по 223 фз;242;закупка по 223 фз;общий
ии и новое;n8n ии агент;242;ии агент;общий
язык задач — учёт;учет заказов производства;241;учет заказов;общий
язык задач — учёт;отчеты складского учета;241;складской учет;общий
язык задач — учёт;учет кадровых изменений;241;кадровый учет;общий
язык задач — учёт;внедрение управленческого учета;241;управленческий учет;покупка
язык задач — система/программа;программа для торговли склад;241;программа для склада;общий
конкуренты и бренды;1с запрос заменить;240;заменить 1с;выбор
язык задач — учёт;учетная политика учет товаров;240;учет товаров;общий
язык задач — учёт;заявка на постановку на государственный учет;240;учет заявок;общий
язык задач — учёт;учет продаж яндекс;240;учет продаж;общий
язык задач — учёт;кадровый учет ип;240;кадровый учет;общий
язык задач — учёт;учет затрат ооо;240;учет затрат;общий
импортозамещение и закупка;сборники по великой отечественной войне;240;отечественное по;общий
ии и новое;новый ии агент;240;ии агент;общий
данные и справочники;erp справочник номенклатуры;240;справочник номенклатуры;общий
язык задач — учёт;учет по агентским договорам услуг;239;учет договоров;общий
язык задач — учёт;правильный учет на складе;239;учет склада;общий
язык задач — учёт;персональный учет сотрудников;239;учет сотрудников;общий
язык задач — учёт;учет брака в производстве;239;учет производства;общий
конкуренты и бренды;crm amocrm;238;amocrm;общий
язык задач — учёт;учет товара решения;238;учет товаров;общий
язык задач — учёт;управленческий учет консультант;238;управленческий учет;общий
язык задач — система/программа;лучшие crm системы;238;crm система;выбор
создание и внедрение;автоматизация финансового учета;238;автоматизация учета;общий
язык задач — учёт;учет розничной продажи товаров;237;учет товаров;общий
язык задач — учёт;учет ремонта техники;237;учет ремонтов;общий
язык задач — система/программа;программа для учета сроков;237;программа для учета;общий
язык задач — система/программа;отчетности упрощенной системы налогообложения;237;система отчетности;общий
язык задач — система/программа;база данных для бизнеса;236;база данных для бизнеса;общий
язык задач — учёт;учет расходов по договорам аренды;235;учет договоров;общий
язык задач — система/программа;учет права использования программ для эвм;235;программа для учета;общий
язык задач — система/программа;программа для учета кадров;235;программа для учета;общий
данные и справочники;тип справочники номенклатура;235;справочник номенклатуры;общий
язык задач — учёт;учет клиентов 3;234;учет клиентов;общий
язык задач — учёт;учет договор подрядчиков по;234;учет договоров;общий
язык задач — учёт;учет занятости сотрудников;234;учет сотрудников;общий
язык задач — система/программа;ведение системы отчетности;234;система отчетности;общий
ии и новое;ии агенты инструкция;234;ии агент;учебное
язык задач — учёт;заявка на ввод в эксплуатацию прибора учета;233;учет заявок;общий
язык задач — учёт;учет оптовых продаж;233;учет продаж;общий
язык задач — учёт;управленческий учет в 1с erp;233;управленческий учет;общий
язык задач — учёт;учет дополнительных затрат;233;учет затрат;общий
язык задач — учёт;учет и отчетность производства;233;учет производства;общий
язык задач — система/программа;erp системы клиента;233;erp система;общий
язык задач — учёт;внутренний учет товаров;232;учет товаров;общий
язык задач — учёт;учет процесса продаж;232;учет продаж;общий
ии и новое;ии агент для поиска;232;ии агент;общий
конкуренты и бренды;bi конструктор битрикс24;231;битрикс24;общий
язык задач — учёт;учет цен производства;231;учет производства;общий
импортозамещение и закупка;российского по для бизнеса;231;российское по для бизнеса;общий
язык задач — учёт;учет товара из китая;230;учет товаров;общий
язык задач — учёт;учет затрат и результатов;230;учет затрат;общий
язык задач — учёт;учет производства и себестоимость продукции;230;учет производства;общий
ии и новое;ии агент про;230;ии агент;общий
ии и новое;ии агент искусственный интеллект;230;ии агент;общий
язык задач — учёт;учет в разрезе договора;229;учет договоров;общий
язык задач — учёт;учет объектов обращения;229;учет обращений;общий
создание и внедрение;разработка автоматизации бизнес процессов;229;автоматизация бизнес процессов;общий
данные и справочники;справочник номенклатуры в 1;229;справочник номенклатуры;общий
язык задач — учёт;валютный контроль учет договоров;228;учет договоров;общий
язык задач — учёт;учет затрат проекта;228;учет затрат;общий
язык задач — учёт;учет и планирование производства;228;учет производства;общий
язык задач — учёт;учет закупок по 223 фз;228;учет закупок;общий
язык задач — учёт;учет и хранение оборудования;228;учет оборудования;общий
язык задач — учёт;учет списанного оборудования;228;учет оборудования;общий
язык задач — система/программа;системы учета crm;228;crm система;общий
конкуренты и бренды;настройка amocrm;227;amocrm;общий
конкуренты и бренды;pipeline amocrm;227;amocrm;общий
конкуренты и бренды;access аналог;227;аналог access;выбор
язык задач — учёт;учет заказов программа;227;учет заказов;общий
язык задач — учёт;учет рабочего времени по договорам;227;учет договоров;общий
импортозамещение и закупка;советский союз по великой отечественной войне;227;отечественное по;общий
импортозамещение и закупка;российское по импортозамещение;227;импортозамещение по;общий
язык задач — система/программа;простая программа для учета;226;программа для учета;общий
язык задач — система/программа;система отчетности сотрудников;226;система отчетности;общий
язык задач — система/программа;программа для склада товара;226;программа для склада;общий
язык задач — учёт;учет продаж ведется;225;учет продаж;общий
язык задач — учёт;учет финансовых результатов от продажи товаров;225;учет продаж;общий
язык задач — учёт;кадровый учет отчетность;225;кадровый учет;общий
конкуренты и бренды;автоматизация битрикс24;224;битрикс24;общий
язык задач — учёт;продажа товара учет ндс;224;учет продаж;общий
язык задач — учёт;организация учета товаров на складе;224;учет склада;общий
язык задач — учёт;воинский учет новый сотрудник;224;учет сотрудников;общий
язык задач — система/программа;системы управления crm взаимоотношений;224;crm система;общий
язык задач — система/программа;афк система отчетность;224;система отчетности;общий
создание и внедрение;анализ автоматизации бизнес процессов;224;автоматизация бизнес процессов;общий
данные и справочники;справочники номенклатура выбрать;224;справочник номенклатуры;выбор
язык задач — учёт;учет процентов по договору займов;223;учет договоров;общий
язык задач — учёт;заявка постановки на учет нвос;223;учет заявок;общий
язык задач — система/программа;планирование erp систем;223;erp система;общий
импортозамещение и закупка;отечественная война по какой год;223;отечественное по;общий
ии и новое;ии агент взломал;223;ии агент;общий
язык задач — учёт;заявка на учет объектов нвос;222;учет заявок;общий
язык задач — учёт;управленческий учет главное;222;управленческий учет;общий
создание и внедрение;специалист по внедрению информационных систем;222;внедрение информационной системы;покупка
импортозамещение и закупка;проекты импортозамещения по;222;импортозамещение по;общий
данные и справочники;справочник номенклатуры услуг;222;справочник номенклатуры;общий
язык задач — учёт;учет расчетов с клиентами;221;учет клиентов;общий
язык задач — учёт;учет профзаболеваний на производстве;221;учет производства;общий
импортозамещение и закупка;экзамен по отечественной истории;221;отечественное по;учебное
ии и новое;ии агент и ии ассистент;221;ии агент;общий
конкуренты и бренды;битрикс24 права доступа;220;битрикс24;общий
язык задач — учёт;учет договора лизинга у лизингополучателя;220;учет договоров;общий
язык задач — учёт;управление складским учетом;220;складской учет;общий
язык задач — учёт;учет оборудования по документами;220;учет оборудования;общий
язык задач — учёт;учет и обработка обращений;220;учет обращений;общий
язык задач — система/программа;программа для учета средств;220;программа для учета;общий
язык задач — система/программа;система управления взаимоотношения с клиентами crm;220;crm система;общий
язык задач — система/программа;система управления взаимоотношениями с клиентами crm;220;crm система;общий
импортозамещение и закупка;российские crm;220;российская crm;общий
ии и новое;вайб кодинг 1с;220;вайб кодинг;общий
ии и новое;ии агент для кодинга;220;ии агент;общий
данные и справочники;генная база данных мастера;220;мастер данные;общий
язык задач — учёт;аренда учет затрат;219;учет затрат;общий
язык задач — система/программа;разработка crm системы;219;crm система;общий
язык задач — система/программа;1 erp системы;219;erp система;общий
язык задач — система/программа;системы аналитической отчетности;219;система отчетности;общий
импортозамещение и закупка;отечественные по рейтингу;219;отечественное по;выбор
ии и новое;ии агенты сервис;219;ии агент;общий
язык задач — система/программа;интеграция erp систем;218;erp система;общий
импортозамещение и закупка;орден отечественной войны по номеру;218;отечественное по;общий
язык задач — учёт;учет затрат в компании;217;учет затрат;общий
язык задач — система/программа;автоматизированная система учета данных;217;система учета данных;общий
язык задач — система/программа;ооо система отчетность;217;система отчетности;общий
язык задач — учёт;учет затрат таблица;216;учет затрат;общий
импортозамещение и закупка;продажа отечественного по;216;отечественное по;общий
импортозамещение и закупка;произведения по отечественной войне;216;отечественное по;общий
ии и новое;готовые ии агенты;216;ии агент;общий
язык задач — учёт;учет нарушений сотрудников;215;учет сотрудников;общий
язык задач — учёт;учет затрат на оборудование;215;учет затрат;общий
язык задач — система/программа;система автоматизации crm;215;crm система;общий
импортозамещение и закупка;тесты по отечественной войне;215;отечественное по;учебное
импортозамещение и закупка;план по импортозамещению;215;импортозамещение по;общий
язык задач — учёт;учет затрат здания;214;учет затрат;общий
язык задач — учёт;erp учет производства;214;учет производства;общий
язык задач — учёт;1 с учет заявок;213;учет заявок;общий
язык задач — учёт;учет продажи сайта;213;учет продаж;общий
язык задач — учёт;управленческий учет товара;213;управленческий учет;общий
язык задач — учёт;c учет оборудования;213;учет оборудования;общий
язык задач — учёт;учет ремонт ос;213;учет ремонтов;общий
ии и новое;manus ии агент;213;ии агент;общий
язык задач — учёт;учет продажи товаров определение финансового результата;212;учет продаж;общий
язык задач — учёт;учет служебного времени сотрудников;212;учет сотрудников;общий
язык задач — система/программа;корпоративная crm система;212;crm система;общий
создание и внедрение;автоматизация учета бизнеса;212;автоматизация учета;общий
импортозамещение и закупка;смотреть фильмы по отечественную войну;212;отечественное по;общий
язык задач — учёт;учет иностранных сотрудников;211;учет сотрудников;общий
